Arquivo,Estrategia,Limiar,TempoTotal(s),TempoOrdenacao(ns)
testes/exp2_N1000_M5000_C500_freq_baixa.txt,MergeSort_Limiar_1000,1000,TEMPO_ORDENACAO_NS:64778105,64778105
testes/exp3_N100_M5000_C100_freq_media.txt,MergeSort_Limiar_10,10,TEMPO_ORDENACAO_NS:10316707,10316707
testes/exp3_N100_M5000_C100_freq_media.txt,MergeSort_Limiar_50,50,TEMPO_ORDENACAO_NS:2289224,2289224
testes/exp3_N100_M5000_C100_freq_media.txt,MergeSort_Limiar_100,100,TEMPO_ORDENACAO_NS:1756025,1756025
testes/exp3_N100_M5000_C100_freq_media.txt,MergeSort_Limiar_250,250,TEMPO_ORDENACAO_NS:1351908,1351908
testes/exp3_N100_M5000_C100_freq_media.txt,MergeSort_Limiar_500,500,TEMPO_ORDENACAO_NS:1266182,1266182
testes/exp3_N100_M5000_C100_freq_media.txt,MergeSort_Limiar_1000,1000,TEMPO_ORDENACAO_NS:1155332,1155332
testes/exp3_N500_M5000_C100_freq_media.txt,MergeSort_Limiar_10,10,TEMPO_ORDENACAO_NS:209686242,209686242
testes/exp3_N500_M5000_C100_freq_media.txt,MergeSort_Limiar_50,50,TEMPO_ORDENACAO_NS:25490353,25490353
testes/exp3_N500_M5000_C100_freq_media.txt,MergeSort_Limiar_100,100,TEMPO_ORDENACAO_NS:15560898,15560898
testes/exp3_N500_M5000_C100_freq_media.txt,MergeSort_Limiar_250,250,TEMPO_ORDENACAO_NS:9102856,9102856
testes/exp3_N500_M5000_C100_freq_media.txt,MergeSort_Limiar_500,500,TEMPO_ORDENACAO_NS:6453661,6453661
testes/exp3_N500_M5000_C100_freq_media.txt,MergeSort_Limiar_1000,1000,TEMPO_ORDENACAO_NS:6156772,6156772
testes/exp3_N1000_M5000_C100_freq_media.txt,MergeSort_Limiar_10,10,TEMPO_ORDENACAO_NS:796237938,796237938
testes/exp3_N1000_M5000_C100_freq_media.txt,MergeSort_Limiar_50,50,TEMPO_ORDENACAO_NS:108849564,108849564
testes/exp3_N1000_M5000_C100_freq_media.txt,MergeSort_Limiar_100,100,TEMPO_ORDENACAO_NS:59363247,59363247
testes/exp3_N1000_M5000_C100_freq_media.txt,MergeSort_Limiar_250,250,TEMPO_ORDENACAO_NS:27919453,27919453
testes/exp3_N1000_M5000_C100_freq_media.txt,MergeSort_Limiar_500,500,TEMPO_ORDENACAO_NS:19708545,19708545
testes/exp3_N1000_M5000_C100_freq_media.txt,MergeSort_Limiar_1000,1000,TEMPO_ORDENACAO_NS:16975989,16975989
testes/exp3_N5000_M5000_C100_freq_media.txt,MergeSort_Limiar_10,10,TEMPO_ORDENACAO_NS:19798380696,19798380696
testes/exp3_N5000_M5000_C100_freq_media.txt,MergeSort_Limiar_50,50,TEMPO_ORDENACAO_NS:1838514900,1838514900
testes/exp3_N5000_M5000_C100_freq_media.txt,MergeSort_Limiar_100,100,TEMPO_ORDENACAO_NS:1006449865,1006449865
testes/exp3_N5000_M5000_C100_freq_media.txt,MergeSort_Limiar_250,250,TEMPO_ORDENACAO_NS:496287068,496287068
testes/exp3_N5000_M5000_C100_freq_media.txt,MergeSort_Limiar_500,500,TEMPO_ORDENACAO_NS:259004372,259004372
testes/exp3_N5000_M5000_C100_freq_media.txt,MergeSort_Limiar_1000,1000,TEMPO_ORDENACAO_NS:151641393,151641393
